time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-06-10T20:45:21.220Z,36.1863333,-117.883,2.13,2.36,ml,27,56,0.1736,0.15,ci,ci37397016,2015-06-10T21:44:03.940Z,"15km SE of Olancha, California",earthquake
2015-06-10T20:42:14.380Z,36.021,-120.5903333,7.05,0.59,md,5,156,0.04253,0.04,nc,nc72463946,2015-06-11T01:08:57.970Z,"24km WSW of Coalinga, California",earthquake
2015-06-10T20:38:55.000Z,63.2556,-151.1104,7.3,1.6,ml,,,,0.49,ak,ak11622865,2015-06-10T20:56:57.906Z,"109km W of Cantwell, Alaska",earthquake
2015-06-10T20:33:07.830Z,36.1885,-117.8896667,1.43,2.02,ml,22,57,0.179,0.18,ci,ci37397000,2015-06-10T21:31:50.804Z,"15km SE of Olancha, California",earthquake
2015-06-10T20:28:24.230Z,33.9751667,-118.3726667,11.91,1.52,ml,14,233,0.01782,0.2,ci,ci37396992,2015-06-10T21:21:25.567Z,"3km S of Baldwin Hills, California",earthquake
2015-06-10T20:14:21.510Z,38.7606659,-122.7101669,2.75,0.74,md,9,87,0.01134,0.03,nc,nc72463931,2015-06-10T20:15:55.520Z,"4km ESE of The Geysers, California",earthquake
2015-06-10T20:13:37.000Z,63.2556,-151.1151,2.9,1.6,ml,,,,1.04,ak,ak11622854,2015-06-10T20:38:59.537Z,"109km W of Cantwell, Alaska",earthquake
2015-06-10T20:10:40.890Z,36.1833333,-117.8835,3.29,0.93,ml,9,76,0.1742,0.12,ci,ci37396976,2015-06-10T22:17:57.127Z,"15km SE of Olancha, California",earthquake
2015-06-10T20:06:55.420Z,41.606,144.3834,11.1,5,mb,,131,1.003,0.92,us,us20002nr4,2015-06-10T20:37:05.074Z,"152km S of Kushiro, Japan",earthquake
2015-06-10T20:03:58.830Z,35.082,-119.0696667,15.16,2.51,ml,37,70,0.1921,0.2,ci,ci37396968,2015-06-11T00:03:29.225Z,"20km NW of Grapevine, California",earthquake
2015-06-10T20:01:51.290Z,36.1866667,-117.8918333,1.39,1.51,ml,16,77,0.1786,0.13,ci,ci37396960,2015-06-10T21:01:07.017Z,"15km SE of Olancha, California",earthquake
2015-06-10T20:01:17.440Z,33.3316667,-116.235,10.92,1.21,ml,37,62,0.1107,0.16,ci,ci37396952,2015-06-10T20:57:18.844Z,"16km ENE of Borrego Springs, California",earthquake
2015-06-10T19:50:08.170Z,36.1885,-117.8855,2.81,1.1,ml,6,183,0.1756,0.04,ci,ci37396944,2015-06-10T22:15:22.114Z,"15km SE of Olancha, California",earthquake
2015-06-10T19:47:46.200Z,36.2861,-97.5171,8.244,2.6,ml,,101,,0.37,us,us20002nrz,2015-06-11T01:03:05.939Z,"20km W of Perry, Oklahoma",earthquake
2015-06-10T19:44:30.199Z,36.7188,-116.2648,7.5042,0.64,ml,9,154.88,0.043,0.0662,nn,nn00498120,2015-06-10T20:53:17.715Z,"48km ESE of Beatty, Nevada",earthquake
2015-06-10T19:44:25.366Z,36.7127,-116.2733,7.5589,0.29,ml,11,139.04,0.051,0.0835,nn,nn00498106,2015-06-10T20:06:55.215Z,"48km ESE of Beatty, Nevada",earthquake
2015-06-10T19:44:17.240Z,37.3718333,-119.0371667,11.72,1,md,8,181,0.1136,0.05,nc,nc72463921,2015-06-11T00:57:53.310Z,"31km S of Mammoth Lakes, California",earthquake
2015-06-10T19:40:15.950Z,37.9151667,-121.9445,0.02,1.35,md,10,84,0.07348,0.07,nc,nc72463916,2015-06-11T00:55:22.370Z,"2km SSW of Quarry near Clayton, CA",quarry blast
2015-06-10T19:39:41.000Z,61.2904,-149.7816,35.4,1.9,ml,,,,0.61,ak,ak11622847,2015-06-10T19:55:15.620Z,"10km NE of Anchorage, Alaska",earthquake
2015-06-10T19:36:28.160Z,37.7788315,-122.168335,11.62,0.93,md,8,126,0.06701,0.04,nc,nc72463911,2015-06-10T19:38:06.350Z,"6km N of San Leandro, California",earthquake
2015-06-10T19:16:20.000Z,60.549,-148.5647,13,2.1,ml,,,,0.79,ak,ak11622845,2015-06-10T19:35:58.209Z,"25km SSE of Whittier, Alaska",earthquake
2015-06-10T19:14:12.300Z,36.1856667,-117.8881667,1.93,1.98,ml,20,64,0.1776,0.17,ci,ci37396928,2015-06-10T20:50:24.581Z,"15km SE of Olancha, California",earthquake
2015-06-10T18:53:23.000Z,63.4002,-151.3762,8.5,1.2,ml,,,,0.11,ak,ak11622844,2015-06-10T19:01:38.151Z,"121km W of Cantwell, Alaska",earthquake
2015-06-10T18:38:00.300Z,17.9561,-64.7863,25,2.4,Md,3,334.8,0.58659988,0.1,pr,pr15161012,2015-06-10T21:08:10.694Z,"24km NNW of Christiansted, U.S. Virgin Islands",earthquake
2015-06-10T18:34:16.000Z,62.9042,-148.2398,8.1,0.1,ml,,,,0.22,ak,ak11622843,2015-06-10T23:53:37.193Z,"65km SSE of Cantwell, Alaska",earthquake
2015-06-10T18:16:44.000Z,59.933,-151.599,57.1,1.3,ml,,,,0.15,ak,ak11622838,2015-06-10T23:53:36.396Z,"21km NE of Anchor Point, Alaska",earthquake
2015-06-10T17:54:31.700Z,36.29,-97.5217,8.185,2.6,ml,,101,,0.36,us,us20002npz,2015-06-11T01:57:10.289Z,"20km W of Perry, Oklahoma",earthquake
2015-06-10T17:52:56.000Z,55.037,-159.2848,22.4,2.4,ml,,,,0.67,ak,ak11622837,2015-06-10T23:44:34.556Z,"32km NNE of Chernabura Island, Alaska",earthquake
2015-06-10T17:46:26.560Z,38.3691,144.7058,26.22,4.2,mb,,105,3.128,0.73,us,us20002npi,2015-06-11T01:49:02.651Z,"264km ESE of Kamaishi, Japan",earthquake
2015-06-10T17:41:15.200Z,35.5636,-97.1279,7.201,2.6,ml,,112,,0.74,us,us20002npx,2015-06-11T00:04:14.781Z,"8km NNE of Harrah, Oklahoma",earthquake
2015-06-10T17:35:54.290Z,35.9433333,-117.1868333,0.01,0.54,ml,13,133,0.09416,0.21,ci,ci37396864,2015-06-10T22:13:22.102Z,"26km NE of Trona, California",quarry blast
2015-06-10T17:20:55.461Z,39.2273,-119.6923,0.9683,1.01,ml,8,79.17,0.156,0.1202,nn,nn00498070,2015-06-10T18:23:47.246Z,"8km W of Dayton, Nevada",earthquake
2015-06-10T17:19:18.000Z,62.7271,-150.5582,101.3,1.7,ml,,,,0.52,ak,ak11622775,2015-06-10T17:35:00.255Z,"50km NNW of Talkeetna, Alaska",earthquake
2015-06-10T17:15:31.890Z,38.7550011,-122.7531662,16.16,0.67,md,8,176,0.04681,0.08,nc,nc72463876,2015-06-10T17:17:04.490Z,"2km S of The Geysers, California",earthquake
2015-06-10T17:09:18.880Z,-21.8879,-68.8008,140.54,4,mb,,77,0.419,0.91,us,us20002nrd,2015-06-11T01:11:51.043Z,"65km NNE of Calama, Chile",earthquake
2015-06-10T17:02:15.830Z,36.0636667,-120.082,9.82,1.61,md,48,193,0.02254,0.13,nc,nc72463866,2015-06-11T00:09:05.659Z,"7km NNE of Avenal, California",earthquake
2015-06-10T16:59:04.340Z,37.5815,-118.7991667,9.48,0.93,md,25,79,0.02526,0.04,nc,nc72463861,2015-06-10T22:01:44.050Z,"16km ESE of Mammoth Lakes, California",earthquake
2015-06-10T16:51:32.840Z,37.0625,-121.8376667,6.58,1.18,md,12,95,0.0464,0.05,nc,nc72463856,2015-06-11T00:49:20.360Z,"3km NE of Day Valley, California",earthquake
2015-06-10T16:35:29.650Z,33.5961667,-116.8163333,9.45,0.6,ml,16,127,0.04276,0.08,ci,ci37396832,2015-06-10T18:35:11.190Z,"14km WNW of Anza, California",earthquake
2015-06-10T16:29:59.980Z,38.8264999,-122.7958298,3.16,1.15,md,21,56,0.01155,0.02,nc,nc72463851,2015-06-10T16:31:34.150Z,"6km W of Cobb, California",earthquake
2015-06-10T16:17:57.400Z,18.9354,-65.1869,16,2.6,Md,7,223.2,0.62971901,0.15,pr,pr15161011,2015-06-11T00:20:27.095Z,"71km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-06-10T16:16:19.800Z,18.8526,-65.3612,8,2.2,Md,4,280.8,0.54707401,0.03,pr,pr15161010,2015-06-10T20:23:05.560Z,"61km N of Culebra, Puerto Rico",earthquake
2015-06-10T16:15:15.450Z,46.8705,-121.9768333,1.06,0.06,md,5,295,0.1058,0.32,uw,uw61024152,2015-06-10T16:37:11.980Z,"22km E of Eatonville, Washington",earthquake
2015-06-10T16:15:07.000Z,62.9258,-148.6095,58.7,1.4,ml,,,,0.44,ak,ak11622751,2015-06-10T16:22:00.906Z,"54km SSE of Cantwell, Alaska",earthquake
2015-06-10T16:13:29.000Z,63.1197,-149.1471,20,1.1,ml,,,,0.06,ak,ak11622750,2015-06-10T16:21:59.651Z,"31km SSW of Cantwell, Alaska",earthquake
2015-06-10T15:51:58.400Z,18.9106,-65.241,9,2.4,Md,4,306,0.60097293,0.03,pr,pr15161009,2015-06-10T20:12:33.194Z,"67km N of Culebra, Puerto Rico",earthquake
2015-06-10T15:49:00.000Z,64.6377,-149.2269,13.4,1,ml,,,,0.36,ak,ak11622711,2015-06-10T16:00:49.777Z,"8km NW of North Nenana, Alaska",earthquake
2015-06-10T15:46:46.120Z,-3.6373,152.1426,10,5,mb,,90,0.55,1.12,us,us20002nn2,2015-06-10T23:49:29.942Z,"32km W of Namatanai, Papua New Guinea",earthquake
2015-06-10T15:33:47.000Z,56.4325,-156.2994,116.4,3.2,ml,,,,0.65,ak,ak11622703,2015-06-10T23:36:22.731Z,"79km NNW of Chirikof Island, Alaska",earthquake
2015-06-10T15:26:05.080Z,32.3313333,-115.3383333,15.93,2.71,ml,17,194,0.09233,0.24,ci,ci37396800,2015-06-10T23:28:33.917Z,"14km W of Delta, B.C., MX",earthquake
2015-06-10T15:17:15.000Z,61.8968,-148.3593,24.8,1.5,ml,,,,0.18,ak,ak11622702,2015-06-10T15:26:54.602Z,"28km ENE of Sutton-Alpine, Alaska",earthquake
2015-06-10T14:45:31.000Z,60.363,-152.9859,123.4,1.9,ml,,,,0.66,ak,ak11622687,2015-06-10T17:43:54.526Z,"19km SW of Redoubt Volcano, Alaska",earthquake
2015-06-10T14:40:35.389Z,37.391,-117.0166,17.4455,0.53,ml,7,211.78,0.341,0.1824,nn,nn00498096,2015-06-10T19:17:08.832Z,"40km SSE of Goldfield, Nevada",earthquake
2015-06-10T13:59:48.300Z,35.9971667,-120.992,5.63,1.16,md,28,83,0.167,0.05,nc,nc72463831,2015-06-11T00:44:38.493Z,"26km SSE of King City, California",earthquake
2015-06-10T13:52:08.890Z,-22.4108,-68.3299,121.58,6,mwb,,23,0.573,1.55,us,us20002nkt,2015-06-11T00:04:48.396Z,"57km NNW of San Pedro de Atacama, Chile",earthquake
2015-06-10T13:42:29.250Z,-24.4594,-67.0458,177.42,4.6,mb,,26,2.416,1.01,us,us20002nkm,2015-06-10T21:45:29.041Z,"78km WSW of San Antonio de los Cobres, Argentina",earthquake
2015-06-10T13:40:52.260Z,38.8175011,-122.8221664,2.11,0.67,md,6,172,0.02304,0.02,nc,nc72463826,2015-06-10T13:42:30.090Z,"7km NW of The Geysers, California",earthquake
2015-06-10T13:29:35.510Z,37.5308333,-118.809,3.19,0.66,md,11,314,0.09789,0.04,nc,nc72463821,2015-06-10T21:04:29.690Z,"19km SE of Mammoth Lakes, California",earthquake
2015-06-10T13:25:30.620Z,35.7531667,-118.4053333,9.81,1.27,ml,20,64,0.07245,0.18,ci,ci37396768,2015-06-10T18:17:27.987Z,"2km E of Kernville, California",earthquake
2015-06-10T13:17:18.990Z,33.1871667,-115.642,3.31,1.78,ml,30,70,0.01678,0.16,ci,ci37396760,2015-06-10T18:12:25.440Z,"13km WSW of Niland, California",earthquake
2015-06-10T13:16:42.014Z,37.9291,-116.2262,1.9145,0.56,ml,7,195.72,0.656,0.1667,nn,nn00498066,2015-06-10T18:55:21.565Z,"31km SSE of Warm Springs, Nevada",earthquake
2015-06-10T13:15:05.600Z,37.6523333,-118.8065,2.62,0.12,md,10,211,0.02702,0.03,nc,nc72463816,2015-06-10T20:44:25.730Z,"14km E of Mammoth Lakes, California",earthquake
2015-06-10T13:14:29.000Z,56.5995,-156.7932,77.1,3.7,ml,,,,0.85,ak,ak11622594,2015-06-10T21:17:00.967Z,"112km NW of Chirikof Island, Alaska",earthquake
2015-06-10T13:08:14.080Z,39.3702,-120.0009,3.4598,0.09,ml,6,192.2,0.082,0.1144,nn,nn00498046,2015-06-10T14:31:53.028Z,"13km N of Incline Village, Nevada",earthquake
2015-06-10T13:05:08.670Z,36.3007,-97.5288,4.78,3.7,mb_lg,,69,0.506,0.19,us,us20002nk3,2015-06-11T02:17:30.010Z,"21km W of Perry, Oklahoma",earthquake
2015-06-10T13:01:46.000Z,65.8731,-151.472,14.8,1.1,ml,,,,0.33,ak,ak11622592,2015-06-10T13:25:57.225Z,"83km NNE of Tanana, Alaska",earthquake
2015-06-10T12:59:21.290Z,39.1943333,-123.6248333,6.38,1.73,md,15,136,0.006219,0.04,nc,nc72463811,2015-06-11T00:40:17.490Z,"30km NW of Boonville, California",earthquake
2015-06-10T12:26:49.000Z,62.0471,-148.9578,20,1.2,ml,,,,0.39,ak,ak11622554,2015-06-10T12:41:36.357Z,"28km NNW of Sutton-Alpine, Alaska",earthquake
2015-06-10T12:16:05.810Z,44.7745,-110.8998333,8.92,1,ml,12,137,0.038,0.17,uu,uu60113842,2015-06-10T16:52:33.770Z,"20km NE of West Yellowstone, Montana",earthquake
2015-06-10T12:02:32.132Z,37.2106,-117.0974,7.2938,0.24,ml,8,189.34,0.236,0.1504,nn,nn00498044,2015-06-10T14:21:19.458Z,"45km NW of Beatty, Nevada",earthquake
2015-06-10T11:41:24.000Z,56.7313,-156.5854,49.8,3.7,ml,,,,0.85,ak,ak11622549,2015-06-10T19:44:08.391Z,"117km NNW of Chirikof Island, Alaska",earthquake
2015-06-10T11:36:24.350Z,33.1826667,-115.6465,3.16,1.43,ml,18,58,0.02007,0.23,ci,ci37396736,2015-06-10T18:05:30.380Z,"14km WSW of Niland, California",earthquake
2015-06-10T11:25:46.860Z,34.6783333,-116.289,3.07,1.6,ml,21,63,0.1135,0.16,ci,ci37396728,2015-06-10T17:57:34.043Z,"13km WSW of Ludlow, California",earthquake
2015-06-10T11:23:10.990Z,33.931,-116.3101667,10.613,0.83,ml,18,83,0.08254,0.12,ci,ci37396720,2015-06-10T14:15:17.073Z,"14km NNE of Thousand Palms, California",earthquake
2015-06-10T11:20:40.600Z,19.4231663,-155.7315063,11.51,1.79,md,34,71,0.08517,0.25,hv,hv60957311,2015-06-10T11:23:51.730Z,"14km ESE of Honaunau-Napoopoo, Hawaii",earthquake
2015-06-10T11:13:27.760Z,33.9328333,-116.3066667,9.229,1.59,ml,49,39,0.08524,0.18,ci,ci37396712,2015-06-10T14:15:50.290Z,"15km NNE of Thousand Palms, California",earthquake
2015-06-10T11:07:28.390Z,-18.2211,-178.0915,577.48,4.8,mb,,96,3.7,0.72,us,us20002njs,2015-06-10T19:10:01.031Z,"276km NNE of Ndoi Island, Fiji",earthquake
2015-06-10T11:06:52.383Z,37.8995,-116.167,4.624,1,ml,13,123.11,0.641,0.1988,nn,nn00498024,2015-06-10T14:14:40.843Z,"36km SSE of Warm Springs, Nevada",earthquake
2015-06-10T10:57:41.380Z,32.7776667,-115.4445,7.81,1.41,ml,13,86,0.02764,0.2,ci,ci37396704,2015-06-10T17:36:16.904Z,"7km WSW of Holtville, California",earthquake
2015-06-10T10:56:54.980Z,19.8651676,-155.5453339,22.6,2.18,md,37,119,0.1059,0.14,hv,hv60957296,2015-06-10T11:00:09.680Z,"21km SE of Waimea, Hawaii",earthquake
2015-06-10T10:53:26.440Z,33.7578333,-116.9523333,16.616,0.96,ml,37,40,0.0517,0.22,ci,ci37396696,2015-06-10T14:16:13.760Z,"2km ENE of Hemet, California",earthquake
2015-06-10T10:52:35.470Z,32.7693333,-115.4413333,7.47,1.5,ml,18,88,0.03618,0.26,ci,ci37396688,2015-06-10T17:26:37.959Z,"7km SW of Holtville, California",earthquake
2015-06-10T10:50:43.480Z,37.5306667,-118.8266667,8.08,0.64,md,16,239,0.05929,0.04,nc,nc72463786,2015-06-10T20:18:50.690Z,"18km SE of Mammoth Lakes, California",earthquake
2015-06-10T10:41:34.044Z,36.3352,-116.3833,0,0.3,ml,5,266.84,0.143,0.0661,nn,nn00498023,2015-06-10T10:57:50.666Z,"38km WNW of Pahrump, Nevada",earthquake
2015-06-10T10:39:06.640Z,33.9786667,-116.6678333,15.53,1.05,ml,44,51,0.06194,0.11,ci,ci37396680,2015-06-10T17:10:09.960Z,"11km SW of Morongo Valley, California",earthquake
2015-06-10T10:30:54.000Z,63.0357,-150.4631,113.9,1.5,ml,,,,0.48,ak,ak11622498,2015-06-10T10:49:48.717Z,"81km NNW of Talkeetna, Alaska",earthquake
2015-06-10T10:25:22.470Z,35.6923,141.0457,50.79,4.7,mb,,117,0.877,0.83,us,us20002njn,2015-06-10T23:05:00.615Z,"19km ESE of Hasaki, Japan",earthquake
2015-06-10T10:17:58.620Z,33.9781667,-116.9685,16.746,0.7,ml,19,105,0.1182,0.12,ci,ci37396672,2015-06-10T14:15:53.304Z,"6km N of Beaumont, California",earthquake
2015-06-10T10:15:52.670Z,-18.3054,-178.0526,554.24,5,mb,,77,7.447,0.76,us,us20002njk,2015-06-10T18:18:37.327Z,"268km NNE of Ndoi Island, Fiji",earthquake
2015-06-10T10:06:19.720Z,34.4905,-119.529,0.03,1.41,ml,14,80,0.09166,0.26,ci,ci37396664,2015-06-10T15:52:32.151Z,"10km N of Carpinteria, California",earthquake
2015-06-10T10:05:06.523Z,37.1689,-116.749,9.384,0.64,ml,13,215.31,0.033,0.1988,nn,nn00498009,2015-06-10T10:48:28.583Z,"28km N of Beatty, Nevada",earthquake
2015-06-10T10:04:42.420Z,34.4833333,-119.5376667,1.01,1.44,ml,15,87,0.08579,0.22,ci,ci37396648,2015-06-10T15:48:41.576Z,"10km N of Carpinteria, California",earthquake
2015-06-10T10:04:15.000Z,63.8696,-149.2576,128.7,1.4,ml,,,,0.29,ak,ak11622488,2015-06-10T10:19:57.150Z,"14km W of Healy, Alaska",earthquake
2015-06-10T09:59:37.200Z,18.0865,-65.0755,13,2.1,Md,4,237.6,0.28746089,0.37,pr,pr15161008,2015-06-10T13:25:24.044Z,"32km SSW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-06-10T09:49:07.140Z,34.5071667,-118.9096667,0.15,1.52,ml,32,76,0.1511,0.24,ci,ci37396640,2015-06-10T15:40:03.618Z,"12km N of Fillmore, California",earthquake
2015-06-10T09:41:46.250Z,34.5158333,-118.9031667,0.54,2.54,ml,70,22,0.1429,0.28,ci,ci37396632,2015-06-10T15:15:53.200Z,"13km N of Fillmore, California",earthquake
2015-06-10T09:40:22.620Z,38.8190002,-122.8171692,2.83,0.85,md,9,101,0.007069,0.01,nc,nc72463751,2015-06-10T09:41:59.290Z,"7km NW of The Geysers, California",earthquake
2015-06-10T09:29:34.270Z,51.2735,-178.2022,32.18,4.9,mb,,149,0.874,0.86,us,us20002nje,2015-06-10T17:35:01.792Z,"63km E of Amatignak Island, Alaska",earthquake
2015-06-10T09:28:27.280Z,33.626,-116.6771667,14.662,0.24,ml,14,112,0.07082,0.13,ci,ci37396624,2015-06-10T14:17:00.096Z,"8km N of Anza, California",earthquake
2015-06-10T09:20:48.800Z,18.3537,-66.3386,89,2.6,Md,5,144,0.21829061,0.07,pr,pr15161007,2015-06-10T17:23:21.393Z,"2km WNW of Corozal, Puerto Rico",earthquake
